fname,lname,POS,BAT,THW,Age,HT,WT,Team,city,state,League
Rafael,Devers,3B,L,R,27,72,235,Boston Red Sox,Sanchez,Dominican Republic,MLB
Vaughn,Grissom,SS,R,R,23,74,210,Boston Red Sox,Orlando,FL,MLB
David,Hamilton,SS,L,R,26,70,188,Boston Red Sox,San Marcos,TX,MLB
Pablo,Reyes,SS,R,R,30,68,175,Boston Red Sox,Santo Domingo,Dominican Republic,MLB
Trevor,Story,SS,R,R,31,74,209,Boston Red Sox,Irving,TX,MLB
Enmanuel,Valdez,2B,L,R,25,68,191,Boston Red Sox,San Juan de la Maguana,Dominican Republic,MLB
Wilyer,Abreu,RF,L,L,24,70,215,Boston Red Sox,Maracaibo,Venezuela,MLB
Jarren,Duran,CF,L,R,27,74,205,Boston Red Sox,Corona,CA,MLB
Tyler,O'Neill,LF,R,R,28,71,200,Boston Red Sox,Burnaby,Canada,MLB
Ceddanne,Rafaela,OF,R,R,23,69,165,Boston Red Sox,Willemstad,Curacao,MLB
Rob,Refsnyder,LF,R,R,32,72,203,Boston Red Sox,Seoul,South Korea,MLB
Masataka,Yoshida,LF,L,R,30,68,192,Boston Red Sox,Fukui,Japan,MLB
Yedrinson,Aguilera,RP,R,R,20,71,165,New York Yankees,Caracas,Venezuela,MLB
Clayton,Beeter,RP,R,R,25,74,220,New York Yankees,Fort Worth,TX,MLB
Gerrit,Cole,SP,R,R,33,76,220,New York Yankees,Newport Beach,CA,MLB
Nestor,Cortes,SP,R,L,29,71,210,New York Yankees,San Jose de las Lajas,Cuba,MLB
Scott,Effross,RP,R,R,30,74,202,New York Yankees,Twinsburg,OH,MLB
Luis,Gil,SP,R,R,25,74,185,New York Yankees,Azua Province,Dominican Republic,MLB
Yoendrys,Gomez,RP,R,R,24,75,212,New York Yankees,Nirgua,Venezuela,MLB
Victor,Gonzalez,RP,L,L,28,72,180,New York Yankees,Veracruz,Mexico,MLB
Ian,Hamilton,RP,R,R,28,73,200,New York Yankees,Dover,NH,MLB
Clay,Holmes,RP,R,R,30,77,245,New York Yankees,Dothan,AL,MLB
Tommy,Kahnle,RP,R,R,34,73,230,New York Yankees,Latham,NY,MLB
Matt,Krook,RP,L,L,29,76,225,New York Yankees,Hillsborough,CA,MLB
Jonathan,Loaisiga,RP,R,R,29,71,165,New York Yankees,Managua,Nicaragua,MLB
Ron,Marinaccio,RP,R,R,28,74,205,New York Yankees,Toms River,NJ,MLB
Cody,Morris,RP,R,R,27,76,205,New York Yankees,Columbia,MD,MLB
Cody,Poteet,RP,R,R,29,73,190,New York Yankees,San Diego,CA,MLB
Nick,Ramirez,RP,L,L,34,76,232,New York Yankees,Anaheim Hills,CA,MLB
Carlos,Rodon,SP,L,L,31,74,255,New York Yankees,Miami,FL,MLB
Clarke,Schmidt,SP,R,R,27,73,200,New York Yankees,Acworth,GA,MLB
Marcus,Stroman,SP,R,R,32,67,180,New York Yankees,Medford,NY,MLB
Luke,Weaver,SP,R,R,30,74,183,New York Yankees,DeLand,FL,MLB
Carlos,Narvaez,C,R,R,25,71,190,New York Yankees,Maracay,Venezuela,MLB
Agustin,Ramirez,C,R,R,22,72,210,New York Yankees,Santo Domingo,Dominican Republic,MLB
Ben,Rortvedt,C,L,R,26,69,191,New York Yankees,Madison,WI,MLB
Jose,Trevino,C,R,R,31,70,215,New York Yankees,Corpus Christi,TX,MLB
Austin,Wells,C,L,R,24,74,220,New York Yankees,Scottsdale,AZ,MLB
Diego,Castillo,SS,R,R,26,70,185,New York Yankees,Barquisimeto,Venezuela,MLB
Jeter,Downs,2B,R,R,25,71,197,New York Yankees,San Andres,Colombia,MLB
DJ,LeMahieu,3B,R,R,35,76,220,New York Yankees,Visalia,CA,MLB
Oswald,Peraza,3B,R,R,23,72,200,New York Yankees,Barquisimeto,Venezuela,MLB
Anthony,Rizzo,1B,L,L,34,75,240,New York Yankees,Parkland,FL,MLB
Gleyber,Torres,2B,R,R,27,73,205,New York Yankees,Caracas,Venezuela,MLB
Jorbit,Vivas,2B,L,R,22,70,171,New York Yankees,Puerto Cabello,Venezuela,MLB
Anthony,Volpe,SS,R,R,22,69,180,New York Yankees,New York,NY,MLB
Oswaldo,Cabrera,LF,B,R,24,71,200,New York Yankees,Guarenas,Venezuela,MLB
Jasson,Dominguez,CF,B,R,20,69,190,New York Yankees,Esperanza,Dominican Republic,MLB
Trent,Grisham,CF,L,L,27,71,224,New York Yankees,Burleson,TX,MLB
Aaron,Judge,RF,R,R,31,79,282,New York Yankees,Linden,CA,MLB
Everson,Pereira,CF,R,R,22,71,191,New York Yankees,Cabudare,Venezuela,MLB
Juan,Soto,LF,L,L,25,74,224,New York Yankees,Santo Domingo,Dominican Republic,MLB
Alex,Verdugo,RF,L,L,27,72,209,New York Yankees,Tucson,AZ,MLB
Giancarlo,Stanton,DH,R,R,34,78,245,New York Yankees,Panorama City,CA,MLB
Jason,Adam,RP,R,R,32,75,229,Tampa Bay Rays,Omaha,NE,MLB
Tyler,Alexander,RP,R,L,29,74,203,Tampa Bay Rays,Chicago,IL,MLB
Shawn,Armstrong,RP,R,R,33,74,225,Tampa Bay Rays,New Bern,NC,MLB
Shane,Baz,SP,R,R,24,74,190,Tampa Bay Rays,Houston,TX,MLB
