fname,lname,POS,BAT,THW,Age,HT,WT,Team,city,state,League
Sean,Reid-Foley,RP,R,R,28,75,230,New York Mets,Agana Heights,Guam,MLB
Kodai,Senga,SP,L,R,30,73,202,New York Mets,Aichi,Japan,MLB
Luis,Severino,SP,R,R,29,74,218,New York Mets,Sabana de la Mar,Dominican Republic,MLB
Drew,Smith,RP,R,R,30,74,190,New York Mets,Fort Worth,TX,MLB
Michael,Tonkin,RP,R,R,34,79,220,New York Mets,Glendale,CA,MLB
Josh,Walker,RP,L,L,29,78,225,New York Mets,Otisville,NY,MLB
Francisco,Alvarez,C,R,R,22,70,233,New York Mets,Guatire,Venezuela,MLB
Tyler,Heineman,C,B,R,32,70,190,New York Mets,Pacific Palisades,CA,MLB
Omar,Narvaez,C,L,R,31,71,220,New York Mets,Maracay,Venezuela,MLB
Luisangel,Acuna,SS,R,R,21,68,181,New York Mets,Caracas,Venezuela,MLB
Pete,Alonso,1B,R,R,29,75,245,New York Mets,Tampa,FL,MLB
Brett,Baty,3B,L,R,24,75,210,New York Mets,Round Rock,TX,MLB
Francisco,Lindor,SS,B,R,30,71,190,New York Mets,Caguas,Puerto Rico,MLB
Ronny,Mauricio,SS,B,R,22,75,166,New York Mets,San Pedro de Macoris,Dominican Republic,MLB
Jeff,McNeil,2B,L,R,31,73,195,New York Mets,Santa Barbara,CA,MLB
Zack,Short,2B,R,R,28,70,180,New York Mets,Kingston,NY,MLB
Mark,Vientos,3B,R,R,24,76,185,New York Mets,Norwalk,CT,MLB
Joey,Wendle,SS,L,R,33,73,195,New York Mets,Wilmington,DE,MLB
Harrison,Bader,CF,R,R,29,72,210,New York Mets,Bronxville,NY,MLB
Starling,Marte,RF,R,R,35,73,195,New York Mets,Santo Domingo,Dominican Republic,MLB
Brandon,Nimmo,CF,L,R,30,75,206,New York Mets,Cheyenne,WY,MLB
Alex,Ramirez,CF,R,R,21,75,170,New York Mets,Santo Domingo,Dominican Republic,MLB
DJ,Stewart,RF,L,R,30,72,210,New York Mets,Gainesville,FL,MLB
Tyrone,Taylor,RF,R,R,30,73,218,New York Mets,Torrance,CA,MLB
Kolby,Allard,SP,L,L,26,73,195,Philadelphia Phillies,Anaheim,CA,MLB
Jose,Alvarado,RP,L,L,28,74,245,Philadelphia Phillies,Maracaibo,Venezuela,MLB
Andrew,Bellatti,RP,R,R,32,73,190,Philadelphia Phillies,San Diego,CA,MLB
Connor,Brogdon,RP,R,R,28,78,205,Philadelphia Phillies,Clovis,CA,MLB
Dylan,Covey,RP,R,R,32,73,215,Philadelphia Phillies,Glendale,CA,MLB
Seranthony,Dominguez,RP,R,R,29,73,225,Philadelphia Phillies,Esperanza,Dominican Republic,MLB
Jeff,Hoffman,RP,R,R,31,77,235,Philadelphia Phillies,Latham,NY,MLB
Orion,Kerkering,RP,R,R,22,74,204,Philadelphia Phillies,Huntington Beach,CA,MLB
Michael,Lorenzen,SP,R,R,32,75,217,Philadelphia Phillies,Anaheim,CA,MLB
Yunior,Marte,RP,R,R,28,74,180,Philadelphia Phillies,Santo Domingo,Dominican Republic,MLB
Michael,Mercado,SP,R,R,24,76,205,Philadelphia Phillies,Greenville,SC,MLB
McKinley,Moore,RP,R,R,25,78,225,Philadelphia Phillies,Houston,TX,MLB
Nick,Nelson,RP,R,R,28,73,205,Philadelphia Phillies,Panama City,FL,MLB
Aaron,Nola,SP,R,R,30,74,200,Philadelphia Phillies,Baton Rouge,LA,MLB
Luis,Ortiz,RP,R,R,28,75,230,Philadelphia Phillies,Sanger,CA,MLB
Cristopher,Sanchez,SP,L,L,27,73,165,Philadelphia Phillies,La Romana,Dominican Republic,MLB
Gregory,Soto,RP,L,L,28,73,234,Philadelphia Phillies,Bajos de Haina,Dominican Republic,MLB
Matt,Strahm,RP,R,L,32,74,190,Philadelphia Phillies,West Fargo,ND,MLB
Ranger,Suarez,SP,L,L,28,73,217,Philadelphia Phillies,Carora,Venezuela,MLB
Taijuan,Walker,SP,R,R,31,76,235,Philadelphia Phillies,Shreveport,LA,MLB
Zack,Wheeler,SP,L,R,33,76,195,Philadelphia Phillies,Smyrna,GA,MLB
Rafael,Marchan,C,B,R,24,69,170,Philadelphia Phillies,San Cristóbal,Venezuela,MLB
J.T.,Realmuto,C,R,R,32,73,212,Philadelphia Phillies,Del City,OK,MLB
Garrett,Stubbs,C,L,R,30,70,170,Philadelphia Phillies,San Diego,CA,MLB
Alec,Bohm,1B,R,R,27,77,218,Philadelphia Phillies,Omaha,NE,MLB
Rodolfo,Castro,SS,B,R,24,72,205,Philadelphia Phillies,San Jose de los Llanos,Dominican Republic,MLB
Kody,Clemens,1B,L,R,27,73,200,Philadelphia Phillies,Houston,TX,MLB
Darick,Hall,1B,L,R,28,76,232,Philadelphia Phillies,Hereford,AZ,MLB
Edmundo,Sosa,3B,R,R,27,72,210,Philadelphia Phillies,Panama City,Panama,MLB
Bryson,Stott,2B,L,R,26,75,200,Philadelphia Phillies,Las Vegas,NV,MLB
Trea,Turner,SS,R,R,30,74,185,Philadelphia Phillies,Boynton Beach,FL,MLB
Weston,Wilson,3B,R,R,29,75,215,Philadelphia Phillies,High Point,NC,MLB
Nick,Castellanos,RF,R,R,31,76,203,Philadelphia Phillies,Hialeah,FL,MLB
Jake,Cave,LF,L,L,31,72,200,Philadelphia Phillies,Hampton,VA,MLB
Brandon,Marsh,CF,L,R,26,76,215,Philadelphia Phillies,Buford,GA,MLB
Simon,Muzziotti,CF,L,L,25,72,175,Philadelphia Phillies,Cumaná,Venezuela,MLB
Cristian,Pache,LF,R,R,25,74,215,Philadelphia Phillies,Santo Domingo,Dominican Republic,MLB
Johan,Rojas,CF,R,R,23,71,165,Philadelphia Phillies,San Francisco de Macoris,Dominican Republic,MLB
Kyle,Schwarber,LF,L,R,30,72,229,Philadelphia Phillies,Middletown,OH,MLB
Bryce,Harper,DH,L,R,31,75,210,Philadelphia Phillies,Las Vegas,NV,MLB
Joan,Adon,SP,R,R,25,74,245,Washington Nationals,Santo Domingo,Dominican Republic,MLB
Zach,Brzykcy,SP,R,R,24,74,232,Washington Nationals,Hickory,NC,MLB
Cade,Cavalli,SP,R,R,25,76,232,Washington Nationals,Tulsa,OK,MLB
Patrick,Corbin,SP,L,L,34,76,226,Washington Nationals,Clay,NY,MLB
Jose,Ferrer,RP,L,L,23,73,229,Washington Nationals,Maimon,Dominican Republic,MLB
Kyle,Finnegan,RP,R,R,32,74,200,Washington Nationals,Detroit,MI,MLB
Dylan,Floro,RP,L,R,33,74,203,Washington Nationals,Merced,CA,MLB
Robert,Garcia,RP,R,L,27,76,225,Washington Nationals,Manteca,CA,MLB
MacKenzie,Gore,SP,L,L,24,74,192,Washington Nationals,Wilmington,NC,MLB
Josiah,Gray,SP,R,R,26,73,210,Washington Nationals,New Rochelle,NY,MLB
Hunter,Harvey,RP,R,R,29,75,239,Washington Nationals,Catawba,NC,MLB
Cole,Henry,SP,R,R,24,76,215,Washington Nationals,Florence,AL,MLB
DJ,Herz,RP,R,L,23,74,175,Washington Nationals,Fayetteville,NC,MLB
Jake,Irvin,SP,R,R,26,78,227,Washington Nationals,Bloomington,MN,MLB
Mitchell,Parker,SP,L,L,24,76,224,Washington Nationals,Albuquerque,NM,MLB
Tanner,Rainey,RP,R,R,31,74,250,Washington Nationals,Folsom,LA,MLB
Jackson,Rutledge,SP,R,R,24,80,251,Washington Nationals,Fenton,MO,MLB
Stephen,Strasburg,SP,R,R,35,77,239,Washington Nationals,San Diego,CA,MLB
Mason,Thompson,RP,R,R,25,78,244,Washington Nationals,Round Rock,TX,MLB
Thaddeus,Ward,RP,R,R,27,75,204,Washington Nationals,Fort Myers,FL,MLB
Jordan,Weems,RP,L,R,31,76,212,Washington Nationals,Columbus,GA,MLB
Trevor,Williams,SP,R,R,31,75,231,Washington Nationals,San Diego,CA,MLB
Amos,Willingham,RP,R,R,25,76,217,Washington Nationals,Rome,GA,MLB
Riley,Adams,C,R,R,27,76,260,Washington Nationals,Encinitas,CA,MLB
Drew,Millas,C,B,R,26,72,198,Washington Nationals,St. Louis,MO,MLB
Keibert,Ruiz,C,B,R,25,72,227,Washington Nationals,Valencia,Venezuela,MLB
CJ,Abrams,SS,L,R,23,74,191,Washington Nationals,Alpharetta,GA,MLB
Jake,Alu,3B,L,R,26,70,186,Washington Nationals,Hamilton,NJ,MLB
Luis,Garcia,2B,L,R,23,74,220,Washington Nationals,New York,NY,MLB
Carter,Kieboom,3B,R,R,26,74,211,Washington Nationals,Marietta,GA,MLB
Nasim,Nunez,SS,B,R,23,69,168,Washington Nationals,Bronx,NY,MLB
Nick,Senzel,3B,R,R,28,73,218,Washington Nationals,Atlanta,GA,MLB
Ildemaro,Vargas,SS,B,R,32,72,195,Washington Nationals,Caripito,Venezuela,MLB
Alex,Call,CF,R,R,29,71,189,Washington Nationals,Burnsville,MN,MLB
Jeremy,De,CF,L,L,22,72,215,Washington Nationals,Santo Domingo,Dominican Republic,MLB
Joey,Gallo,LF,L,R,30,77,250,Washington Nationals,Henderson,NV,MLB
Stone,Garrett,LF,R,R,28,74,224,Washington Nationals,Sugar Land,TX,MLB
Victor,Robles,CF,R,R,26,72,194,Washington Nationals,Santo Domingo,Dominican Republic,MLB
Lane,Thomas,RF,R,R,28,72,198,Washington Nationals,Knoxville,TN,MLB
Jacob,Young,OF,R,R,24,71,180,Washington Nationals,Ponte Vedra,FL,MLB
Joey,Meneses,DH,R,R,31,75,240,Washington Nationals,Culiacan,Mexico,MLB
Tanner,Banks,RP,R,L,32,73,210,Chicago White Sox,Riverton,UT,MLB
John,Brebbia,RP,L,R,33,73,200,Chicago White Sox,Boston,MA,MLB
Dylan,Cease,SP,R,R,28,74,195,Chicago White Sox,Milton,GA,MLB
Josimar,Cousin,SP,R,R,25,75,185,Chicago White Sox,Havana,Cuba,MLB
Garrett,Crochet,RP,L,L,24,78,230,Chicago White Sox,Ocean Springs,MS,MLB
Shane,Drohan,SP,L,L,25,75,195,Chicago White Sox,Fort Lauderdale,FL,MLB
Erick,Fedde,SP,R,R,30,76,203,Chicago White Sox,Las Vegas,NV,MLB
Chris,Flexen,RP,R,R,29,75,219,Chicago White Sox,Newark,CA,MLB
Matt,Foster,RP,R,R,28,72,215,Chicago White Sox,Valley,AL,MLB
Deivi,Garcia,RP,R,R,24,69,163,Chicago White Sox,Bonao,Dominican Republic,MLB
Tim,Hill,RP,R,L,33,76,200,Chicago White Sox,Mission Hills,CA,MLB
Michael,Kopech,SP,R,R,27,75,210,Chicago White Sox,Longview,TX,MLB
Jimmy,Lambert,RP,R,R,29,74,190,Chicago White Sox,Arcadia,CA,MLB
Davis,Martin,RP,L,R,27,74,200,Chicago White Sox,Abilene,TX,MLB
Cristian,Mena,SP,R,R,21,74,170,Chicago White Sox,Pimentel,Dominican Republic,MLB
Edgar,Navarro,RP,R,R,25,73,180,Chicago White Sox,Ciudad Bolivar,Venezuela,MLB
Sammy,Peralta,RP,L,L,25,74,205,Chicago White Sox,Queens,NY,MLB
Lane,Ramsey,RP,R,R,27,81,245,Chicago White Sox,Oklahoma City,OK,MLB
Gregory,Santos,RP,R,R,24,74,190,Chicago White Sox,San Cristobal,Dominican Republic,MLB
Jesse,Scholtens,RP,R,R,29,76,230,Chicago White Sox,Fairfield,CA,MLB
Jared,Shuster,SP,L,L,25,75,210,Chicago White Sox,New Bedford,MA,MLB
Michael,Soroka,SP,R,R,26,77,225,Chicago White Sox,Calgary,Canada,MLB
Alex,Speas,RP,R,R,25,75,225,Chicago White Sox,Powder Springs,GA,MLB
Touki,Toussaint,SP,R,R,27,75,215,Chicago White Sox,Pembroke Pines,FL,MLB
Korey,Lee,C,R,R,25,74,210,Chicago White Sox,Escondido,CA,MLB
Martin,Maldonado,C,R,R,37,72,230,Chicago White Sox,Naguabo,Puerto Rico,MLB
Max,Stassi,C,R,R,32,70,200,Chicago White Sox,Woodland,CA,MLB
Paul,DeJong,SS,R,R,30,72,205,Chicago White Sox,Orlando,FL,MLB
Nicky,Lopez,2B,L,R,28,71,180,Chicago White Sox,Naperville,IL,MLB
Yoan,Moncada,3B,B,R,28,74,225,Chicago White Sox,Cienfuegos,Cuba,MLB
Bryan,Ramos,2B,R,R,21,74,190,Chicago White Sox,Havana,Cuba,MLB
Jose,Rodriguez,SS,R,R,22,71,175,Chicago White Sox,Valverde,Dominican Republic,MLB
Braden,Shewmake,SS,L,R,26,75,190,Chicago White Sox,Wylie,TX,MLB
Lenyn,Sosa,2B,R,R,24,72,180,Chicago White Sox,Puerto Ordaz,Venezuela,MLB
Andrew,Vaughn,1B,R,R,25,72,215,Chicago White Sox,Santa Rosa,CA,MLB
Andrew,Benintendi,LF,L,L,29,69,180,Chicago White Sox,Cincinnati,OH,MLB
Oscar,Colas,RF,L,L,25,71,209,Chicago White Sox,Santiago de Cuba,Cuba,MLB
Luis,Robert,CF,R,R,26,74,220,Chicago White Sox,Ciego de Avila,Cuba,MLB
Gavin,Sheets,RF,L,L,27,77,230,Chicago White Sox,Lutherville,MD,MLB
Eloy,Jimenez,DH,R,R,27,76,240,Chicago White Sox,Santo Domingo,Dominican Republic,MLB
Logan,Allen,SP,R,L,25,72,190,Cleveland Guardians,Altamonte Springs,FL,MLB
Scott,Barlow,RP,R,R,31,75,210,Cleveland Guardians,New London,CT,MLB
Tanner,Bibee,SP,R,R,24,74,205,Cleveland Guardians,Mission Viejo,CA,MLB
Shane,Bieber,SP,R,R,28,75,200,Cleveland Guardians,Orange,CA,MLB
Joey,Cantillo,RP,L,L,24,76,225,Cleveland Guardians,Honolulu,HI,MLB
Emmanuel,Clase,RP,R,R,25,74,206,Cleveland Guardians,Rio San Juan,Dominican Republic,MLB
Xzavion,Curry,RP,R,R,25,72,195,Cleveland Guardians,Orangeburg,SC,MLB
Daniel,Espino,SP,R,R,23,74,225,Cleveland Guardians,Panama City,Panama,MLB
Hunter,Gaddis,SP,R,R,25,78,260,Cleveland Guardians,Canton,GA,MLB
Sam,Hentges,RP,L,L,27,78,245,Cleveland Guardians,Shoreview,MN,MLB
Tim,Herrin,RP,L,L,27,78,230,Cleveland Guardians,Terre Haute,IN,MLB
James,Karinchak,RP,R,R,28,75,215,Cleveland Guardians,Newburgh,NY,MLB
Ben,Lively,SP,R,R,31,76,235,Cleveland Guardians,Pensacola,FL,MLB
Triston,McKenzie,SP,R,R,26,77,165,Cleveland Guardians,Brooklyn,NY,MLB
Eli,Morgan,RP,R,R,27,70,190,Cleveland Guardians,Rancho Palos Verdes,CA,MLB
Nick,Sandlin,RP,R,R,27,71,175,Cleveland Guardians,Evans,GA,MLB
Cade,Smith,RP,R,R,24,77,230,Cleveland Guardians,Vancouver,Canada,MLB
Trevor,Stephan,RP,R,R,28,77,225,Cleveland Guardians,Magnolia,TX,MLB
Gavin,Williams,SP,L,R,24,78,250,Cleveland Guardians,Fayetteville,NC,MLB
David,Fry,C,R,R,28,72,215,Cleveland Guardians,Colleyville,TX,MLB
Cam,Gallagher,C,R,R,31,75,230,Cleveland Guardians,Lancaster,PA,MLB
Austin,Hedges,C,R,R,31,73,220,Cleveland Guardians,San Juan Capistrano,CA,MLB
Bo,Naylor,C,L,R,23,72,205,Cleveland Guardians,Mississauga,Canada,MLB
Juan,Brito,SS,B,R,22,71,202,Cleveland Guardians,Santo Domingo,Dominican Republic,MLB
Deyvison,De,3B,R,R,20,71,185,Cleveland Guardians,Santo Domingo,Dominican Republic,MLB
Tyler,Freeman,3B,R,R,24,72,190,Cleveland Guardians,Rancho Cucamonga,CA,MLB
Andres,Gimenez,2B,L,R,25,71,161,Cleveland Guardians,Barquisimeto,Venezuela,MLB
Angel,Martinez,2B,B,R,21,72,200,Cleveland Guardians,Santo Domingo,Dominican Republic,MLB
Josh,Naylor,1B,L,L,26,71,250,Cleveland Guardians,Mississauga,Canada,MLB
Jose,Ramirez,3B,B,R,31,69,190,Cleveland Guardians,Bani,Dominican Republic,MLB
Brayan,Rocchio,SS,B,R,23,70,170,Cleveland Guardians,Caracas,Venezuela,MLB
Jose,Tena,SS,L,R,22,71,195,Cleveland Guardians,San Cristobal,Dominican Republic,MLB
Gabriel,Arias,RF,R,R,23,73,217,Cleveland Guardians,La Victoria,Venezuela,MLB
Robert,Arias,CF,L,L,17,73,168,Cleveland Guardians,Bonao,Dominican Republic,MLB
Will,Brennan,RF,L,L,25,72,200,Cleveland Guardians,Colorado Springs,CO,MLB
Estevan,Florial,RF,L,R,26,73,195,Cleveland Guardians,Barahona,Dominican Republic,MLB
Steven,Kwan,LF,L,L,26,69,170,Cleveland Guardians,Los Gatos,CA,MLB
Ramon,Laureano,RF,R,R,29,71,203,Cleveland Guardians,Santo Domingo,Dominican Republic,MLB
Jhonkensy,Noel,OF,R,R,22,75,250,Cleveland Guardians,San Pedro de Macoris,Dominican Republic,MLB
Johnathan,Rodriguez,RF,B,R,24,72,224,Cleveland Guardians,Toa Baja,Puerto Rico,MLB
Myles,Straw,CF,R,R,29,70,178,Cleveland Guardians,Garden Grove,CA,MLB
George,Valera,RF,L,L,23,72,195,Cleveland Guardians,Queens,NY,MLB
Beau,Brieske,RP,R,R,25,75,200,Detroit Tigers,Chandler,AZ,MLB
Andrew,Chafin,RP,R,L,33,74,235,Detroit Tigers,Kettering,OH,MLB
Miguel,Diaz,RP,R,R,29,72,224,Detroit Tigers,San Cristobal,Dominican Republic,MLB
Mason,Englert,RP,B,R,24,76,206,Detroit Tigers,Forney,TX,MLB
Alex,Faedo,SP,R,R,28,77,225,Detroit Tigers,Tampa,FL,MLB
Jack,Flaherty,SP,R,R,28,76,225,Detroit Tigers,Burbank,CA,MLB
Wilmer,Flores,SP,R,R,22,76,225,Detroit Tigers,Valencia,Venezuela,MLB
Jason,Foley,RP,R,R,28,76,215,Detroit Tigers,Manhasset,NY,MLB
Sawyer,Gipson-Long,RP,R,R,26,76,225,Detroit Tigers,Lithia Springs,GA,MLB
Tyler,Holton,RP,L,L,27,74,200,Detroit Tigers,Tallahassee,FL,MLB
Alex,Lange,RP,R,R,28,75,202,Detroit Tigers,Riverside,CA,MLB
Kenta,Maeda,SP,R,R,35,73,185,Detroit Tigers,Osaka,Japan,MLB
Matt,Manning,SP,R,R,25,78,195,Detroit Tigers,Sacramento,CA,MLB
Shelby,Miller,RP,R,R,33,75,225,Detroit Tigers,Round Rock,TX,MLB
Casey,Mize,SP,R,R,26,75,212,Detroit Tigers,Springville,AL,MLB
Keider,Montero,SP,R,R,23,73,145,Detroit Tigers,Santa Teresa del Tuy,Venezuela,MLB
Reese,Olson,SP,R,R,24,73,160,Detroit Tigers,Gainesville,GA,MLB
Tarik,Skubal,SP,R,L,27,75,240,Detroit Tigers,Hayward,CA,MLB
Devin,Sweet,RP,B,R,27,71,183,Detroit Tigers,Greensboro,NC,MLB
Will,Vest,RP,R,R,28,72,180,Detroit Tigers,Houston,TX,MLB
Joey,Wentz,SP,L,L,26,77,220,Detroit Tigers,Lawrence,KS,MLB
Brendan,White,RP,R,R,25,71,185,Detroit Tigers,White Plains,NY,MLB
Dillon,Dingler,C,R,R,25,75,210,Detroit Tigers,Massillon,OH,MLB
Carson,Kelly,C,R,R,29,74,212,Detroit Tigers,Chicago,IL,MLB
Jake,Rogers,C,R,R,28,73,201,Detroit Tigers,Canyon,TX,MLB
Javier,Baez,SS,R,R,31,72,190,Detroit Tigers,Bayamon,Puerto Rico,MLB
Andy,Ibanez,2B,R,R,30,70,205,Detroit Tigers,Havana,Cuba,MLB
Ryan,Kreidler,SS,R,R,26,76,208,Detroit Tigers,Davis,CA,MLB
Eddys,Leonard,SS,R,R,23,71,195,Detroit Tigers,Santo Domingo,Dominican Republic,MLB
Andre,Lipcius,2B,R,R,25,72,190,Detroit Tigers,Annapolis,MD,MLB
Wenceel,Perez,2B,B,R,24,71,203,Detroit Tigers,Azua Province,Dominican Republic,MLB
Spencer,Torkelson,1B,R,R,24,73,220,Detroit Tigers,Petaluma,CA,MLB
Akil,Baddoo,LF,L,L,25,73,214,Detroit Tigers,Silver Spring,MD,MLB
Mark,Canha,LF,R,R,34,74,209,Detroit Tigers,San Jose,CA,MLB
Kerry,Carpenter,RF,L,R,26,74,220,Detroit Tigers,Eustis,FL,MLB
Riley,Greene,CF,L,L,23,75,200,Detroit Tigers,Orlando,FL,MLB
Nick,Maton,LF,L,R,26,74,178,Detroit Tigers,Chatham,IL,MLB
Zach,McKinstry,RF,L,R,28,72,180,Detroit Tigers,Toledo,OH,MLB
Parker,Meadows,CF,L,R,24,77,205,Detroit Tigers,Atlanta,GA,MLB
Matt,Vierling,RF,R,R,27,75,205,Detroit Tigers,St. Louis,MO,MLB
Nick,Anderson,RP,R,R,33,76,205,Kansas City Royals,Crosby,MN,MLB
Jonathan,Bowlan,SP,R,R,27,78,240,Kansas City Royals,Arlington,TN,MLB
Jake,Brentz,RP,L,L,29,73,205,Kansas City Royals,Ballwin,MO,MLB
Kris,Bubic,SP,L,L,26,75,225,Kansas City Royals,Cupertino,CA,MLB
Steven,Cruz,RP,R,R,24,79,225,Kansas City Royals,Tenares,Dominican Republic,MLB
Taylor,Hearn,RP,L,L,29,78,230,Kansas City Royals,Royse City,TX,MLB
Carlos,Hernandez,RP,R,R,26,76,255,Kansas City Royals,Guayana,Venezuela,MLB
Will,Klein,RP,R,R,24,77,230,Kansas City Royals,Bloomington,IN,MLB
Seth,Lugo,SP,R,R,34,76,225,Kansas City Royals,Shreveport,LA,MLB
Jordan,Lyles,SP,R,R,33,77,230,Kansas City Royals,Hartsville,SC,MLB
Daniel,Lynch,SP,L,L,27,78,200,Kansas City Royals,Richmond,VA,MLB
Alec,Marsh,SP,R,R,25,74,220,Kansas City Royals,Milwaukee,WI,MLB
James,McArthur,RP,R,R,27,79,230,Kansas City Royals,New Braunfels,TX,MLB
John,McMillon,RP,L,R,25,75,230,Kansas City Royals,Lufkin,TX,MLB
Walter,Pennington,RP,L,L,25,74,205,Kansas City Royals,Broomfield,CO,MLB
Cole,Ragans,SP,L,L,26,76,190,Kansas City Royals,Crawfordville,FL,MLB
Matt,Sauer,SP,R,R,25,76,230,Kansas City Royals,Santa Maria,CA,MLB
Brady,Singer,SP,R,R,27,77,215,Kansas City Royals,Leesburg,FL,MLB
Will,Smith,RP,R,L,34,77,255,Kansas City Royals,Newnan,GA,MLB
Chris,Stratton,RP,R,R,33,74,205,Kansas City Royals,Tupelo,MS,MLB
Josh,Taylor,RP,L,L,30,77,245,Kansas City Royals,Phoenix,AZ,MLB
Anthony,Veneziano,SP,L,L,26,77,205,Kansas City Royals,Hackettstown,NJ,MLB
Michael,Wacha,SP,R,R,32,78,215,Kansas City Royals,Iowa City,IA,MLB
Kyle,Wright,SP,R,R,28,76,215,Kansas City Royals,Huntsville,AL,MLB
Angel,Zerpa,RP,L,L,24,72,220,Kansas City Royals,Valle de la Pascua,Venezuela,MLB
Freddy,Fermin,C,R,R,28,69,200,Kansas City Royals,Puerto Ordaz,Venezuela,MLB
Salvador,Perez,C,R,R,33,75,255,Kansas City Royals,Valencia,Venezuela,MLB
Maikel,Garcia,3B,R,R,23,72,180,Kansas City Royals,La Sabana,Venezuela,MLB
Garrett,Hampson,SS,R,R,29,71,196,Kansas City Royals,Reno,NV,MLB
Nick,Loftin,SS,R,R,25,71,180,Kansas City Royals,Corpus Christi,TX,MLB
Michael,Massey,2B,L,R,25,72,195,Kansas City Royals,Palos Park,IL,MLB
Vinnie,Pasquantino,1B,L,L,26,76,245,Kansas City Royals,Richmond,VA,MLB
Nick,Pratto,1B,L,L,25,73,225,Kansas City Royals,Huntington Beach,CA,MLB
Samad,Taylor,2B,R,R,25,68,160,Kansas City Royals,Corona,CA,MLB
Bobby,Witt,SS,R,R,23,73,200,Kansas City Royals,Colleyville,TX,MLB
Dairon,Blanco,LF,R,R,30,71,200,Kansas City Royals,Camaguey,Cuba,MLB
Tyler,Gentry,RF,R,R,24,72,210,Kansas City Royals,Memphis,TN,MLB
Kyle,Isbel,CF,L,R,26,71,190,Kansas City Royals,Fontana,CA,MLB
MJ,Melendez,RF,L,R,25,73,190,Kansas City Royals,Daytona Beach,FL,MLB
Hunter,Renfroe,RF,R,R,31,73,230,Kansas City Royals,Crystal Springs,MS,MLB
Nelson,Velazquez,RF,R,R,25,72,190,Kansas City Royals,Carolina,Puerto Rico,MLB
Drew,Waters,CF,B,R,25,72,185,Kansas City Royals,Atlanta,GA,MLB
Jorge,Alcala,RP,R,R,28,75,205,Minnesota Twins,Bajos de Haina,Dominican Republic,MLB
Jordan,Balazovic,RP,R,R,25,77,215,Minnesota Twins,Mississauga,Canada,MLB
Matt,Canterino,SP,R,R,26,74,222,Minnesota Twins,Southlake,TX,MLB
Jhoan,Duran,RP,R,R,26,77,230,Minnesota Twins,Esperanza,Dominican Republic,MLB
Kody,Funderburk,RP,L,L,27,76,230,Minnesota Twins,Mesa,AZ,MLB
Brent,Headrick,RP,L,L,26,78,235,Minnesota Twins,Braidwood,IL,MLB
Griffin,Jax,RP,R,R,29,74,195,Minnesota Twins,Phoenix,AZ,MLB
Ryan,Jensen,SP,R,R,26,72,190,Minnesota Twins,Monterey,CA,MLB
Pablo,Lopez,SP,L,R,27,76,225,Minnesota Twins,Cabimas,Venezuela,MLB
Bailey,Ober,SP,R,R,28,81,260,Minnesota Twins,Huntersville,NC,MLB
Chris,Paddack,SP,R,R,28,77,217,Minnesota Twins,Austin,TX,MLB
Joe,Ryan,SP,R,R,27,74,205,Minnesota Twins,San Francisco,CA,MLB
Cole,Sands,RP,R,R,26,75,215,Minnesota Twins,Tallahassee,FL,MLB
Josh,Staumont,RP,R,R,30,75,200,Minnesota Twins,La Habra,CA,MLB
Brock,Stewart,RP,L,R,32,75,220,Minnesota Twins,Normal,IL,MLB
Caleb,Thielbar,RP,R,L,36,72,205,Minnesota Twins,Northfield,MN,MLB
Louie,Varland,SP,L,R,26,73,205,Minnesota Twins,Saint Paul,MN,MLB
Josh,Winder,RP,R,R,27,77,210,Minnesota Twins,Richmond,VA,MLB
Simeon,Woods,SP,R,R,23,75,210,Minnesota Twins,Sugar Land,TX,MLB
Jair,Camargo,C,R,R,24,70,230,Minnesota Twins,Barranquilla,Colombia,MLB
Ryan,Jeffers,C,R,R,26,76,235,Minnesota Twins,Raleigh,NC,MLB
Christian,Vazquez,C,R,R,33,69,205,Minnesota Twins,Bayamon,Puerto Rico,MLB
Carlos,Correa,SS,R,R,29,76,220,Minnesota Twins,Ponce,Puerto Rico,MLB
Kyle,Farmer,3B,R,R,33,72,205,Minnesota Twins,Atlanta,GA,MLB
Edouard,Julien,2B,L,R,24,72,195,Minnesota Twins,Quebec City,Canada,MLB
Royce,Lewis,3B,R,R,24,74,200,Minnesota Twins,Aliso Viejo,CA,MLB
Austin,Martin,2B,R,R,24,72,185,Minnesota Twins,DeLand,FL,MLB
Jose,Miranda,3B,R,R,25,74,210,Minnesota Twins,Manati,Puerto Rico,MLB
Jorge,Polanco,2B,B,R,30,71,208,Minnesota Twins,San Pedro de Macoris,Dominican Republic,MLB
Yunior,Severino,1B,B,R,24,72,189,Minnesota Twins,Santo Domingo,Dominican Republic,MLB
Willi,Castro,LF,B,R,26,73,206,Minnesota Twins,Rio Piedras,Puerto Rico,MLB
Nick,Gordon,CF,L,R,28,72,160,Minnesota Twins,Avon Park,FL,MLB
Max,Kepler,RF,L,L,30,76,225,Minnesota Twins,Berlin,Germany,MLB
Alex,Kirilloff,OF,L,L,26,74,195,Minnesota Twins,Pittsburgh,PA,MLB
Trevor,Larnach,LF,L,R,26,76,223,Minnesota Twins,Walnut Creek,CA,MLB
Emmanuel,Rodriguez,CF,L,L,20,70,210,Minnesota Twins,Santiago,Dominican Republic,MLB
Bubba,Thompson,LF,R,R,25,74,197,Minnesota Twins,Mobile,AL,MLB
